#CalDate[0], Epoch[1], GeigerHits[2]
2015-07-19 18:09:55,1437329395,1
2015-07-19 18:09:56,1437329396,1
2015-07-19 18:09:59,1437329399,1
2015-07-19 18:10:05,1437329405,1
2015-07-19 18:10:08,1437329408,1
2015-07-19 18:10:11,1437329411,1
2015-07-19 18:10:21,1437329421,1
2015-07-19 18:10:27,1437329427,1
2015-07-19 18:10:28,1437329428,3
2015-07-19 18:10:33,1437329433,1
2015-07-19 18:10:36,1437329436,3
2015-07-19 18:10:47,1437329447,2
2015-07-19 18:11:03,1437329463,1
2015-07-19 18:11:04,1437329464,1
2015-07-19 18:11:10,1437329470,1
2015-07-19 18:11:11,1437329471,1
2015-07-19 18:11:14,1437329474,2
2015-07-19 18:11:18,1437329478,1
2015-07-19 18:11:20,1437329480,1
2015-07-19 18:11:26,1437329486,1
2015-07-19 18:11:33,1437329493,1
2015-07-19 18:11:38,1437329498,1
2015-07-19 18:11:40,1437329500,1
2015-07-19 18:11:45,1437329505,1
2015-07-19 18:11:49,1437329509,1
2015-07-19 18:11:57,1437329517,1
2015-07-19 18:12:05,1437329525,1
2015-07-19 18:12:07,1437329527,1
2015-07-19 18:12:09,1437329529,1
2015-07-19 18:12:13,1437329533,2
2015-07-19 18:12:21,1437329541,1
2015-07-19 18:12:22,1437329542,1
2015-07-19 18:12:26,1437329546,1
2015-07-19 18:12:32,1437329552,1
2015-07-19 18:12:34,1437329554,1
2015-07-19 18:12:35,1437329555,1
2015-07-19 18:12:38,1437329558,1
2015-07-19 18:12:46,1437329566,1
2015-07-19 18:12:47,1437329567,1
2015-07-19 18:12:51,1437329571,1
2015-07-19 18:12:52,1437329572,3
2015-07-19 18:12:55,1437329575,1
2015-07-19 18:12:57,1437329577,1
2015-07-19 18:12:58,1437329578,1
2015-07-19 18:13:07,1437329587,1
2015-07-19 18:13:12,1437329592,1
2015-07-19 18:13:19,1437329599,1
2015-07-19 18:13:20,1437329600,1
2015-07-19 18:13:24,1437329604,1
2015-07-19 18:13:25,1437329605,1
2015-07-19 18:13:33,1437329613,1
2015-07-19 18:13:48,1437329628,1
2015-07-19 18:13:50,1437329630,1
2015-07-19 18:13:59,1437329639,2
2015-07-19 18:14:00,1437329640,1
2015-07-19 18:14:03,1437329643,1
2015-07-19 18:14:10,1437329650,1
2015-07-19 18:14:18,1437329658,1
2015-07-19 18:14:19,1437329659,1
2015-07-19 18:14:24,1437329664,1
2015-07-19 18:14:36,1437329676,1
2015-07-19 18:14:38,1437329678,1
2015-07-19 18:14:41,1437329681,1
2015-07-19 18:14:42,1437329682,1
2015-07-19 18:14:43,1437329683,1
2015-07-19 18:14:44,1437329684,1
2015-07-19 18:14:51,1437329691,1
2015-07-19 18:14:53,1437329693,1
2015-07-19 18:15:03,1437329703,1
2015-07-19 18:15:07,1437329707,1
2015-07-19 18:15:17,1437329717,1
2015-07-19 18:15:22,1437329722,1
2015-07-19 18:15:28,1437329728,1
2015-07-19 18:15:30,1437329730,1
2015-07-19 18:15:32,1437329732,1
2015-07-19 18:15:33,1437329733,1
2015-07-19 18:15:34,1437329734,1
2015-07-19 18:15:40,1437329740,1
2015-07-19 18:15:45,1437329745,2
2015-07-19 18:15:47,1437329747,1
2015-07-19 18:15:59,1437329759,1
2015-07-19 18:16:16,1437329776,1
2015-07-19 18:16:23,1437329783,1
2015-07-19 18:16:25,1437329785,1
2015-07-19 18:16:27,1437329787,1
2015-07-19 18:16:29,1437329789,1
2015-07-19 18:16:35,1437329795,1
2015-07-19 18:16:38,1437329798,1
2015-07-19 18:16:39,1437329799,1
2015-07-19 18:16:40,1437329800,1
2015-07-19 18:16:42,1437329802,1
2015-07-19 18:16:44,1437329804,1
2015-07-19 18:16:47,1437329807,1
2015-07-19 18:16:49,1437329809,1
2015-07-19 18:16:54,1437329814,1
2015-07-19 18:16:58,1437329818,1
2015-07-19 18:17:02,1437329822,1
2015-07-19 18:17:03,1437329823,3
2015-07-19 18:17:09,1437329829,1
2015-07-19 18:17:10,1437329830,1
2015-07-19 18:17:11,1437329831,2
2015-07-19 18:17:16,1437329836,1
2015-07-19 18:17:17,1437329837,1
2015-07-19 18:17:18,1437329838,2
2015-07-19 18:17:19,1437329839,1
2015-07-19 18:17:22,1437329842,2
2015-07-19 18:17:24,1437329844,3
2015-07-19 18:17:25,1437329845,3
2015-07-19 18:17:26,1437329846,2
2015-07-19 18:17:27,1437329847,3
2015-07-19 18:17:28,1437329848,2
2015-07-19 18:17:29,1437329849,1
2015-07-19 18:17:30,1437329850,2
2015-07-19 18:17:31,1437329851,1
2015-07-19 18:17:32,1437329852,3
2015-07-19 18:17:33,1437329853,2
2015-07-19 18:17:35,1437329855,2
2015-07-19 18:17:39,1437329859,3
2015-07-19 18:17:42,1437329862,1
2015-07-19 18:17:43,1437329863,1
2015-07-19 18:17:45,1437329865,1
2015-07-19 18:17:48,1437329868,1
2015-07-19 18:17:49,1437329869,1
2015-07-19 18:17:50,1437329870,1
2015-07-19 18:17:51,1437329871,1
2015-07-19 18:17:52,1437329872,1
2015-07-19 18:17:57,1437329877,2
2015-07-19 18:17:58,1437329878,2
2015-07-19 18:17:59,1437329879,1
2015-07-19 18:18:02,1437329882,1
2015-07-19 18:18:03,1437329883,1
2015-07-19 18:18:05,1437329885,2
2015-07-19 18:18:07,1437329887,3
2015-07-19 18:18:08,1437329888,2
2015-07-19 18:18:09,1437329889,2
2015-07-19 18:18:11,1437329891,1
2015-07-19 18:18:13,1437329893,3
2015-07-19 18:18:14,1437329894,1
2015-07-19 18:18:15,1437329895,1
2015-07-19 18:18:16,1437329896,3
2015-07-19 18:18:17,1437329897,1
2015-07-19 18:18:19,1437329899,1
2015-07-19 18:18:20,1437329900,1
2015-07-19 18:18:21,1437329901,1
2015-07-19 18:18:22,1437329902,1
2015-07-19 18:18:25,1437329905,1
2015-07-19 18:18:26,1437329906,1
2015-07-19 18:18:31,1437329911,1
2015-07-19 18:18:33,1437329913,1
2015-07-19 18:18:34,1437329914,1
2015-07-19 18:18:36,1437329916,1
2015-07-19 18:18:37,1437329917,3
