MET,Acc(HI),Acc/Baro(LO),Baro(HI),State
9.180,494,204,551,3
9.200,495,200,550,3
9.220,492,132,549,3
9.240,494,132,549,3
9.260,492,68,549,3
9.280,493,0,548,3
9.300,496,204,547,3
9.320,494,140,547,3
9.340,496,204,547,3
9.360,496,140,547,3
9.380,494,136,546,3
9.400,496,8,546,3
9.420,496,132,545,3
9.440,496,128,544,3
9.460,496,192,544,3
9.480,496,0,544,3
9.500,493,128,544,3
9.520,495,12,543,3
9.540,496,72,542,3
9.560,494,8,542,3
9.580,496,132,541,3
9.600,497,0,540,3
9.620,493,12,539,3
9.640,494,140,539,3
9.660,494,12,539,3
9.680,496,8,538,3
9.700,497,8,538,3
9.720,495,4,537,3
9.740,496,0,536,3
9.760,497,64,536,3
9.780,489,192,536,3
9.800,495,0,536,3
9.820,493,128,536,3
9.840,493,12,535,3
9.860,492,76,535,3
9.880,496,72,534,3
9.900,492,132,533,3
9.920,494,132,533,3
9.940,491,0,532,3
9.960,492,64,532,3
9.980,494,192,532,3
10.000,493,0,532,3
10.020,494,68,533,3
10.040,494,72,538,3
10.060,495,200,538,3
10.080,493,64,524,3
10.100,494,64,520,3
10.120,494,8,518,3
10.140,494,4,517,3
10.160,496,0,516,3
10.180,494,128,516,3
10.200,493,204,515,3
10.220,494,4,513,3
10.240,494,132,513,3
10.260,493,64,512,3
10.280,495,128,512,3
10.300,494,128,512,3
10.320,493,192,512,3
10.340,493,64,512,3
10.360,494,132,513,3
10.380,495,140,511,3
10.400,496,140,511,3
10.420,495,0,512,3
10.440,495,140,511,3
10.460,494,72,510,3
10.480,497,136,510,3
10.500,496,132,509,3
10.520,496,68,509,3
10.540,495,192,508,3
10.560,496,128,508,3
10.580,496,64,508,3
10.600,494,64,508,3
10.620,493,140,507,3
10.640,492,204,507,3
10.660,497,8,506,3
10.680,495,196,505,3
10.700,496,200,506,3
10.720,494,128,504,3
10.740,496,64,504,3
10.760,494,4,505,3
10.780,496,0,504,3
10.800,495,204,503,3
10.820,494,12,503,3
10.840,495,8,502,3
10.860,497,136,502,3
10.880,494,72,502,3
10.900,496,8,502,3
10.920,495,72,502,3
10.940,496,196,501,3
10.960,496,4,501,3
10.980,494,132,501,3
11.000,497,12,499,3
11.020,496,140,499,3
11.040,496,12,499,3
11.060,495,204,499,3
11.080,498,140,499,3
11.100,495,204,499,3
11.120,498,72,498,3
11.140,495,132,497,3
11.160,496,4,497,3
11.180,496,192,496,3
11.200,495,0,496,3
11.220,495,0,496,3
11.240,500,128,496,3
11.260,494,64,496,3
11.280,497,0,496,3
11.300,497,12,495,3
11.320,497,196,493,3
11.340,496,132,493,3
11.360,496,196,493,3
11.380,496,128,492,3
11.400,496,192,492,3
11.420,495,0,492,3
11.440,493,0,492,3
11.460,498,204,491,3
11.480,498,204,491,3
11.500,495,0,492,3
11.520,496,140,491,3
11.540,496,72,490,3
11.560,497,68,489,3
11.580,496,68,489,3
11.600,497,4,489,3
11.620,495,4,489,3
11.640,496,4,489,3
11.660,496,4,489,3
11.680,495,192,488,3
11.700,496,76,487,3
11.720,498,128,488,3
11.740,497,140,487,3
11.760,497,204,487,3
11.780,497,8,486,3
11.800,498,8,486,3
11.820,498,72,486,3
11.840,496,4,485,3
11.860,495,64,484,3
11.880,499,192,484,3
11.900,498,12,483,3
11.920,495,12,483,3
11.940,496,200,482,3
11.960,500,12,483,3
11.980,498,132,481,3
12.000,497,68,481,3
12.020,498,68,481,3
12.040,497,68,481,3
12.060,499,132,481,3
12.080,498,128,480,3
12.100,498,0,480,3
12.120,499,192,480,3
12.140,500,192,480,3
12.160,498,128,480,3
12.180,498,192,480,3
12.200,497,8,478,3
12.220,498,8,478,3
12.240,498,140,479,3
12.260,497,72,478,3
12.280,497,136,478,3
12.300,498,68,477,3
12.320,497,192,476,3
12.340,498,132,477,3
12.360,496,128,476,3
12.380,498,192,476,3
12.400,499,0,476,3
12.420,496,140,475,3
12.440,497,136,474,3
12.460,499,76,475,3
12.480,497,132,473,3
12.500,496,132,473,3
12.520,498,64,472,3
12.540,496,68,473,3
12.560,499,128,472,3
12.580,498,64,472,3
12.600,497,128,472,3
12.620,498,0,472,3
12.640,499,128,472,3
12.660,498,204,471,3
12.680,500,12,471,3
12.700,498,72,470,3
12.720,498,200,470,3
12.740,499,72,470,3
12.760,499,4,469,3
12.780,500,132,469,3
12.800,498,0,468,3
12.820,499,196,469,3
12.840,500,128,468,3
12.860,496,64,468,3
12.880,498,140,467,3
12.900,497,192,468,3
12.920,499,140,467,3
12.940,497,0,468,3
12.960,499,140,467,3
12.980,497,136,466,3
13.000,499,200,466,3
13.020,498,196,465,3
13.040,496,4,465,3
13.060,499,132,465,3
13.080,497,192,464,3
13.100,499,4,465,3
13.120,498,12,463,3
13.140,499,140,463,3
13.160,499,72,462,3
13.180,498,204,463,3
13.200,499,72,462,3
13.220,499,204,463,3
13.240,499,72,462,3
13.260,498,200,462,3
13.280,499,132,461,3
13.300,498,4,461,3
13.320,499,192,460,3
13.340,499,68,461,3
13.360,497,192,460,3
13.380,500,128,460,3
13.400,498,192,460,3
13.420,499,192,460,3
13.440,498,128,460,3
13.460,497,204,459,3
13.480,499,204,459,3
13.500,499,204,459,3
13.520,499,136,458,3
13.540,499,200,458,3
13.560,499,136,458,3
13.580,497,200,458,3
13.600,499,196,457,3
13.620,498,64,456,3
13.640,499,0,456,3
13.660,499,128,456,3
13.680,499,192,456,3
13.700,499,140,455,3
13.720,499,76,455,3
13.740,499,200,454,3
13.760,499,200,454,3
13.780,498,200,454,3
13.800,499,200,454,3
13.820,498,200,454,3
13.840,498,72,454,3
13.860,499,200,454,3
13.880,499,132,453,3
13.900,500,196,453,3
13.920,499,192,452,3
13.940,499,192,452,3
13.960,501,204,451,3
13.980,499,204,451,3
14.000,499,204,451,3
14.020,499,204,451,3
14.040,500,140,451,3
14.060,499,200,450,3
14.080,500,136,450,3
14.100,499,132,449,3
14.120,499,196,449,3
14.140,500,196,449,3
14.160,501,4,449,3
14.180,500,192,448,3
14.200,499,196,449,3
14.220,499,68,449,3
14.240,500,192,448,3
14.260,499,196,449,3
14.280,498,192,448,3
14.300,500,0,448,3
14.320,499,204,447,3
14.340,500,12,447,3
14.360,499,204,447,3
14.380,500,200,446,3
14.400,499,8,446,3
14.420,499,72,446,3
14.440,499,8,446,3
14.460,501,196,445,3
14.480,499,196,445,3
14.500,499,4,445,3
14.520,499,192,444,3
14.540,500,128,444,3
14.560,500,0,444,3
14.580,500,204,443,3
14.600,499,0,444,3
14.620,499,192,444,3
14.640,500,12,443,3
14.660,499,204,443,3
14.680,499,200,442,3
14.700,499,196,441,3
14.720,499,68,441,3
